INST;Best *;VNS_red dist best;VNS_red Gap Best;VNS_red dist avg;VNS_red Gap Avg;VNS_red T;VNS_red TC;VNS_full dist best;VNS_full Gap Best;VNS_full dist avg;VNS_full Gap Avg;VNS_full T;VNS_full TC;IG dist best;IG Gap Best;IG dist avg;IG Gap Avg;IG dist_std;IG T;IG T_std
R104_21x;1412.26;1473.50;4.34%;1641.42;16.23%;770.4;308.16;1470.20;4.10%;1628.00;15.28%;535.30;214.12;1412.261;0.00%;1432.781;1.45%;14.03;14.87;2.47
R105_21x;1583.95;1842.34;16.31%;1898.80;19.88%;539.41;215.76;1909.13;20.53%;1975.78;24.74%;463.62;185.45;1583.951;0.00%;1600.848;1.07%;10.84;18.69;5.50
R106_21x;1515.02;1737.88;14.71%;1870.36;23.45%;345.95;138.38;1723.88;13.79%;1887.34;24.58%;153.16;61.26;1515.016;0.00%;1529.874;0.98%;9.91;19.62;6.62
R107_21x;1447.34;1518.95;4.95%;1671.82;15.51%;287.01;114.8;1490.01;2.95%;1670.00;15.38%;323.49;129.40;1447.344;0.00%;1463.403;1.11%;9.42;15.09;3.24
R108_21x;1404.87;1454.99;3.57%;1553.47;10.58%;322.44;128.98;1449.13;3.15%;1569.62;11.73%;184.32;73.73;1404.873;0.00%;1434.787;2.13%;18.12;10.74;2.05
R109_21x;1483.13;1547.52;4.34%;1694.54;14.25%;356.45;142.58;1529.71;3.14%;1683.81;13.53%;386.16;154.46;1483.130;0.00%;1503.099;1.35%;17.13;13.22;2.48
R110_21x;1449.32;1451.04;0.12%;1486.15;2.54%;597.54;239.02;1470.57;1.47%;1513.50;4.43%;660.80;264.32;1449.320;0.00%;1469.865;1.42%;15.65;8.14;1.72
R111_21x;1459.41;1487.83;1.95%;1572.49;7.75%;579.21;231.68;1522.49;4.32%;1593.35;9.18%;483.22;193.29;1459.414;0.00%;1484.121;1.69%;17.46;7.33;1.21
R112_21x;1384.48;1457.06;5.24%;1457.06;5.24%;0;0;1413.86;2.12%;1452.74;4.93%;64.47;25.79;1384.483;0.00%;1400.581;1.16%;9.98;14.19;4.63
R201_21x;1199.22;1238.92;3.31%;1265.99;5.57%;486.39;194.56;1218.88;1.64%;1252.17;4.42%;639.80;255.92;1199.219;0.00%;1204.851;0.47%;4.96;19.93;3.11
R202_21x;1122.67;1158.64;3.20%;1170.28;4.24%;626.39;250.56;1135.84;1.17%;1166.67;3.92%;564.04;225.62;1122.670;0.00%;1129.684;0.62%;4.44;18.38;2.58
R203_21x;1042.00;1064.16;2.13%;1093.38;4.93%;513.09;205.24;1067.89;2.49%;1096.69;5.25%;542.58;217.03;1041.996;0.00%;1051.239;0.89%;7.40;36.35;4.47
R204_21x;961.43;962.16;0.08%;994.44;3.43%;534.08;213.63;965.62;0.44%;977.19;1.64%;591.03;236.41;961.425;0.00%;963.299;0.19%;1.70;27.07;2.59
R205_21x;1103.12;1136.47;3.02%;1167.99;5.88%;711.65;284.66;1134.35;2.83%;1155.14;4.72%;452.03;180.81;1103.120;0.00%;1109.472;0.58%;4.67;28.09;3.45
R206_21x;1074.75;1106.23;2.93%;1137.05;5.80%;789.19;315.68;1092.55;1.66%;1117.88;4.01%;512.81;205.12;1074.749;0.00%;1086.263;1.07%;8.97;32.37;5.53
R207_21x;1014.16;1034.45;2.00%;1072.21;5.72%;588.03;235.21;1025.08;1.08%;1055.93;4.12%;512.99;205.20;1014.158;0.00%;1021.286;0.70%;4.27;30.68;1.86
R208_21x;960.97;991.25;3.15%;1018.02;5.94%;484.88;193.95;970.31;0.97%;996.20;3.67%;519.00;207.60;960.967;0.00%;963.679;0.28%;1.93;30.64;2.68
R209_21x;1057.06;1078.55;2.03%;1106.82;4.71%;597.86;239.14;1078.00;1.98%;1089.28;3.05%;597.67;239.07;1057.059;0.00%;1064.513;0.71%;4.92;38.11;9.00
R210_21x;1036.17;1059.31;2.23%;1090.53;5.25%;515.34;206.14;1045.64;0.91%;1068.65;3.13%;480.40;192.16;1036.167;0.00%;1046.299;0.98%;5.98;35.79;7.05
R211_21x;996.72;1030.77;3.42%;1053.79;5.73%;524.6;209.84;999.26;0.25%;1034.15;3.76%;421.96;168.78;996.720;0.00%;1000.292;0.36%;2.46;24.89;3.14
AVG;1281.43;1371.00;6.99%;1428.37;11.47%;521.08;208.43;1368.07;6.76%;1441.11;12.46%;449.10;179.64;1281.431;0.00%;1295.325;1.08%;;22.18
RC101_21x;1860.94;2044.99;9.89%;2274.23;22.21%;294.29;117.72;1907.52;2.50%;2106.42;13.19%;605.26;242.10;1860.942;0.00%;1893.850;1.77%;12.63;13.09;5.27
RC102_21x;1814.25;2004.78;10.50%;2035.60;12.20%;516.43;206.57;1834.97;1.14%;2047.79;12.87%;397.12;158.85;1814.251;0.00%;1840.836;1.47%;16.14;11.21;6.38
RC103_21x;1726.56;1747.98;1.24%;1933.49;11.99%;393.23;157.29;1728.17;0.09%;1846.23;6.93%;470.22;188.09;1726.560;0.00%;1768.027;2.40%;21.93;18.96;10.02
RC104_21x;1644.36;1644.36;0.00%;1686.88;2.59%;322;128.8;1645.35;0.06%;1688.65;2.69%;372.96;149.18;1660.445;0.98%;1676.490;1.95%;13.87;21.15;3.91
RC105_21x;1789.64;1789.64;0.00%;1821.53;1.78%;471.32;188.53;1802.85;0.74%;1936.87;8.23%;506.77;202.71;1803.842;0.79%;1835.748;2.58%;23.10;6.64;2.21
RC106_21x;1728.89;1760.23;1.81%;1797.62;3.98%;584.16;233.66;1750.61;1.26%;1807.42;4.54%;450.61;180.24;1728.889;0.00%;1793.090;3.71%;30.41;8.04;1.77
RC107_21x;1683.97;1687.90;0.23%;1713.75;1.77%;493.35;197.34;1686.76;0.17%;1719.83;2.13%;681.21;272.48;1683.970;0.00%;1710.028;1.55%;18.09;17.57;4.34
RC108_21x;1622.76;1672.75;3.08%;1676.55;3.31%;440.79;176.32;1622.76;0.00%;1655.21;2.00%;760.71;304.28;1654.368;1.95%;1672.353;3.06%;15.19;18.10;4.14
RC201_21x;1289.28;1313.01;1.84%;1341.92;4.08%;682.08;272.83;1318.73;2.28%;1358.75;5.39%;282.60;113.04;1289.283;0.00%;1293.974;0.36%;2.00;21.82;9.33
RC202_21x;1190.98;1218.40;2.30%;1246.29;4.64%;691.5;276.6;1200.59;0.81%;1230.97;3.36%;531.87;212.75;1190.979;0.00%;1191.540;0.05%;1.07;19.20;2.15
RC203_21x;1074.41;1119.62;4.21%;1140.74;6.17%;589.31;235.72;1103.43;2.70%;1138.82;5.99%;624.78;249.91;1074.411;0.00%;1084.107;0.90%;11.95;21.92;1.65
RC204_21x;1020.51;1045.72;2.47%;1077.93;5.63%;462.65;185.06;1040.09;1.92%;1054.96;3.38%;470.14;188.06;1020.511;0.00%;1023.192;0.26%;1.71;36.61;3.81
RC205_21x;1177.37;1223.37;3.91%;1253.27;6.45%;368.42;147.37;1217.43;3.40%;1245.16;5.76%;356.82;142.73;1177.371;0.00%;1206.361;2.46%;34.35;27.24;4.45
RC206_21x;1163.64;1216.70;4.56%;1235.36;6.16%;495.64;198.26;1193.11;2.53%;1216.17;4.51%;610.81;244.32;1163.637;0.00%;1182.589;1.63%;15.72;25.04;3.54
RC207_21x;1085.42;1116.30;2.85%;1133.88;4.47%;532.73;213.09;1106.60;1.95%;1146.08;5.59%;442.03;176.81;1085.415;0.00%;1095.630;0.94%;10.86;23.89;2.48
RC208_21x;1011.68;1038.25;2.63%;1081.38;6.89%;535.7;214.28;1049.42;3.73%;1067.86;5.55%;516.79;206.72;1011.684;0.00%;1027.945;1.61%;8.23;33.07;3.75
AVG;1430.29;1477.75;3.32%;1528.15;6.84%;492.1;196.84;1450.52;1.41%;1516.70;6.04%;505.04;202.02;1434.160;0.27%;1455.985;1.80%;;20.22
